,Dir Rank,Movie,actor,type,role,aw
1233,AlR1,Saint Louis Blues,Ella Fitzgerald,\Und,"musician, aunt ""Helen""",|
1234,AlR1,Saint Louis Blues,Ruby Dee,\Und,musician,|
1235,AlR1,Saint Louis Blues,Mahalia Jackson,\Und,musician,|
1236,AlR1,Saint Louis Blues,s a,\Und,"girlfriend ""Elisabeth""",|
1237,AlR1,Saint Louis Blues,Juana Hernadez,\Und,und,|
1238,AlR1,Saint Louis Blues,s a,\Und,"father, rigid preacher)",
1239,ALs10,Android,Klaus Kinski,\Und,und,|
1240,ALs10,Android,Don Opper,\Und,und,|
1241,ALs10,Android,Brie Howard,\Und,und,|
1242,AlT10,Dual Alibi,Herbert Lom,\Und,trapeze artist,|
1243,AlT10,Dual Alibi,Phyllis Dixey,\Lov,und,|
1244,AlT10,Dual Alibi,Ronald Frankau,\Und,und,|
1245,AlT10,Dual Alibi,Terence deMarmey,\Und,und,|
1246,AlT10,Dual Alibi,Abraham safaer,\Und,und,|
1247,ALv10,Vice Squad,Edward G. Robinson,\Und,police captain,|
1248,ALv10,Vice Squad,Paulette Goddard,\Und,und,|
1249,ALv10,Vice Squad,K.T. Stevens,\Und,und,|
1250,ALv10,Vice Squad,Porter Hall,\Und,und,|
1251,ALv10,Vice Squad,Adam Williams,\Und,und,|
1252,ALv10,Vice Squad,Edward Binns,\Und,und,|
1253,ALv10,Vice Squad,Lee VanCleef,\Und,und,|
1254,ALv100,Decoy,Robert Horton,\Und,"pianist, set up",|
1255,ALv100,Decoy,Cara Williams,\Und,"singer, loved",|
1256,ALv100,Decoy,Arnold Laven,\Und,"RZ:husband, impresario, accused of brutality, shot",|
1257,ALv100,Decoy,Jack Mullaney,\Und,"RS:police detective, trusts pianist ""Ritchie""",
1258,ALv100,Decoy,Phillip Coolidge,\Und,"singer's new love, murderer ""Ritchie""",|
1259,ALv100,Decoy,s a,\Und,"japanese dancer, possible witness ""Mrs.Sajikawa""",|
1260,ALv100,Decoy,s a,\Und,"disc jockey, possible witness",|
1261,ALv101,The Return of Verge Likens,Peter Fonda,\Und,"wronged father, becomes barber",|
1262,ALv101,The Return of Verge Likens,Robert Emhardt,\Und,"crooked politician, dies of fear",|
1263,AlW40,The House of Rothschild,George Arliss,\Und,banker,|
1264,AlW40,The House of Rothschild,Loretta Young,\Und,und,|
1265,AlW40,The House of Rothschild,Boris Karloff,\Und,und,|
1266,AlW40,The House of Rothschild,Robert Young,\Und,und,|
1267,AlW40,The House of Rothschild,C.Aubrey Smith,\Und,und,|
1268,AlW40,The House of Rothschild,Arthur Byron,\Und,und,|
1269,AlW40,The House of Rothschild,Helen Westley,\Und,und,|
1270,AlW40,The House of Rothschild,Refinald Owen,\Und,und,|
1271,AlW40,The House of Rothschild,Florence Arliss,\Und,und,|
1272,AlW40,The House of Rothschild,Alan Mowbray,\Und,und,|
1273,AlW40,The House of Rothschild,Holmes Hernert,\Und,und,|
1274,AlW60,The Adventures of Sherlock Holmes,Basil Rathbone,\Agn,"detective ""Holmes""",|
1275,AlW60,The Adventures of Sherlock Holmes,Nigel Bruce,\Sdk,Dr.~Watson,|
1276,AlW60,The Adventures of Sherlock Holmes,George Zucco,\Und,"professor, thief ""Moriarty""",|
1277,AlW60,The Adventures of Sherlock Holmes,Ida Lupino,\Und,"helps with sketch ""Ann Brandon""",|
1278,AlW60,The Adventures of Sherlock Holmes,Alan Marshall,\Und,"RN:""Jerrold Hunter""",|
1279,AlW60,The Adventures of Sherlock Holmes,Terry Kilburn,\Und,Billy,|
1280,AlW60,The Adventures of Sherlock Holmes,E.E. Clive,\Und,"inspector ""Bristol""",|
1281,AlW60,The Adventures of Sherlock Holmes,Henry Stephenson,\Und,"RN:""Sir Ramsgate""",|
1282,AlW60,The Adventures of Sherlock Holmes,Mary Gordon,\Und,"landlady ""Mrs.~Hudson""",|
1283,AlZ4,College Confidential,Steve Allen,\Vil,"immoral professor, arrested",|
1284,AlZ4,College Confidential,Jayne Meadows,\Und,wife,|
1285,AlZ4,College Confidential,Mamie vanDoren,\Und,admired,|
1286,AlZ4,College Confidential,Conway Twitty,\Und,singer,|
1287,AlZ4,College Confidential,Walter Winchell,\Und,"gossip collumnist ""Walter Winchell""",|
1288,AlZ4,College Confidential,Earl Wilson,\Und,"gossip collumnist ""Earl Wilson""",|
1289,AlZ4,College Confidential,Sheilah Graham,\Und,"British gossip collumnist ""Sheilah Graham""",|
1290,AlZ4,College Confidential,Rocky Marciano,\Und,und,|
1291,AlZ4,College Confidential,Elisha Cook,\Und,und,|
1292,AlZ4,College Confidential,Ziva Rodann,\Und,und,|
1293,AlZ4,College Confidential,Micket Shaughnessey,\Und,und,|
1294,AlZ5,Sex Kittens go to College,Mamie vanDoren,\Und,high IQ stripper,|
1295,AlZ5,Sex Kittens go to College,s a,\Und,"robot, selects department chair ""Thinko""",|
1296,AlZ5,Sex Kittens go to College,Tuesday Weld,\Und,und,|
1297,AlZ5,Sex Kittens go to College,Mijanou Bardot,\Und,und,|
1298,AlZ5,Sex Kittens go to College,Mickey Shaughnessy,\Und,und,|
1299,AlZ5,Sex Kittens go to College,Louis Nye,\Und,und,|
1300,AlZ5,Sex Kittens go to College,Pamela Mason,\Und,und,|
1301,AlZ5,Sex Kittens go to College,Marty Milner,\Und,und,|
1302,AlZ5,Sex Kittens go to College,Jackie Coogan,\Und,"uncle ""Fester""",|
1303,AlZ5,Sex Kittens go to College,John Carradine,\Und,und,|
1304,AlZ5,Sex Kittens go to College,Vampira,\Und,und,|
1305,AlZ5,Sex Kittens go to College,Conway Twitty,\Und,singer,|
1306,AlZ5,Sex Kittens go to College,Charles Chaplin~jr.,\Und,und,|
1307,AlZ5,Sex Kittens go to College,Harold Lloyd~jr.,\Und,und,|
1308,AlZ5,Sex Kittens go to College,Woo Woo Grabowski,\Und,"RN:""Woo Woo Grabowski""",|
1309,AlZ25,On Her Bed of Roses,Sandra Lynn,\Und,"teenager, confides",|
1310,AlZ25,On Her Bed of Roses,Ric Marlowe,\Sci,"doctor ""KraftEbbing""",|
1311,AlZ25,On Her Bed of Roses,Stephen Long,\Und,"fiancee, impotent, murders",|
1312,AM12,Ever in My Heart,Barbara Stanwyk,\Und,und,|
1313,AM12,Ever in My Heart,Ralph Bellamy,\Und,und,|
1314,AM12,Ever in My Heart,Otto Kruger,\Und,und,|
1315,AM18,The Petrified Forest,Leslie Howard,\Und,world-weary intellectual,|
1316,AM18,The Petrified Forest,Bette Davis,\Und,ardent waitress,|
1317,AM18,The Petrified Forest,Humphrey Bogart,\Vil,"ruthless escaped killer ""Duke Mantee""",
1318,AM18,The Petrified Forest,Genevieve Tobin,\Und,traveller,|
1319,AM18,The Petrified Forest,Dick Foran,\Und,traveller,|
1320,AM18,The Petrified Forest,Joe Sawyer,\Und,gangster,|
1321,AM18,The Petrified Forest,Porter Hall,\Und,und,|
1322,AM18,The Petrified Forest,Charley Grapewin,\Und,grandfather,|
1323,AM18,The Petrified Forest,Paul Harvey,\Und,und,|
1324,AM18,The Petrified Forest,s a,\Und,moll,|
1325,AM20,Gambling Lady,Barbara Stanwyk,\Und,und,|
1326,AM20,Gambling Lady,Joel McCrea,\Und,und,|
1327,AM20,Gambling Lady,Pat OBrien,\Und,und,|
1328,AM21,Black Legion,Humphrey Bogart,\Und,"factory worker, joins klan-like organization, recants",|
1329,AM21,Black Legion,Dick Foran,\Und,"RZ:friend, killed",|
1330,AM21,Black Legion,Erin OBrienMoore,\Und,und,|
1331,AM21,Black Legion,Ann Sheridan,\Und,und,|
1332,AM21,Black Legion,Robert Barrat,\Und,und,|
1333,AM21,Black Legion,Helen Flint,\Und,und,|
1334,AM21,Black Legion,Joseph Sawyer,\Und,und,|
1335,AM21,Black Legion,Addison Richards,\Und,und,|
1336,AM21,Black Legion,Eddie Acuff,\Und,und,|
1337,AM21,Black Legion,Clifford Soubier,\Und,und,|
1338,AM21,Black Legion,Paul Harvey,\Und,und,|
1339,AM21,Black Legion,Samuel S. Hinds,\Und,und,|
1340,AM21,Black Legion,John Litel,\Und,und,|
1341,AM21,Black Legion,Alonzo Price,\Und,und,|
1342,AM21,Black Legion,Dickie Jones,\Und,und,|
1343,AM21,Black Legion,Dorothy Vaughn,\Und,und,|
1344,AM21,Black Legion,Henry Brandon,\Und,und,|
1345,AM21,Black Legion,Charles Halton,\Und,und,|
1346,AM21,Black Legion,Pat C. Flick,\Und,und,|
1347,AM21,Black Legion,Francis Sayles,\Und,und,|
1348,AM21,Black Legion,Paul Stanton,\Und,und,|
1349,AM21,Black Legion,Harry Hayden,\Und,und,|
1350,AM21,Black Legion,Egon Brecher,\Und,und,|
1351,AM23,Adventures of Marco Polo,Gary Cooper,\Und,"traveller ""Marco Polo""",|
1352,AM23,Adventures of Marco Polo,Basil Rathbone,\Und,mongol plotter,|
1353,AM23,Adventures of Marco Polo,Sigreid Gurie,\Und,Chinese maiden,|
1354,AM23,Adventures of Marco Polo,Ernest Truex,\Und,und,|
1355,AM23,Adventures of Marco Polo,Binnie Barnes,\Und,und,|
1356,AM23,Adventures of Marco Polo,Alan Hale,\Und,und,|
1357,AM23,Adventures of Marco Polo,George Barbier,\Und,und,|
1358,AM27,The House Across the Bay,George Raft,\Und,und,|
1359,AM27,The House Across the Bay,Joan Bennett,\Und,und,|
1360,AM27,The House Across the Bay,Walter Pidgeon,\Und,und,|
1361,AM27,The House Across the Bay,Lloyd Nolan,\Und,und,|
1362,AM27,The House Across the Bay,Gladys George,\Und,und,|
1363,AM27,The House Across the Bay,June Knight,\Und,und,|
1364,AM29,Charley's Aunt,Kay Francis,\Und,girlfriend,|
1365,AM29,Charley's Aunt,James Ellison,\Und,straight student,|
1366,AM29,Charley's Aunt,Anne Baxter,\Und,und,|
1367,AM29,Charley's Aunt,Laird Cregar,\Und,und,|
1368,AM29,Charley's Aunt,Edmund Gwenn,\Und,und,|
1369,AM31,Orchestra Wives,Ann Rutherford,\Und,marries trumpeter,|
1370,AM31,Orchestra Wives,George Montgomery,\Und,trumpet player,|
1371,AM31,Orchestra Wives,Lynn Bari,\Und,und,|
1372,AM31,Orchestra Wives,Glenn Miller,\Grp,band leader,|
1373,AM31,Orchestra Wives,Carole Landis,\Und,und,|
1374,AM31,Orchestra Wives,Jackie Geason,\Und,und,|
1375,AM31,Orchestra Wives,Cesar Romero,\Und,und,|
1376,AM35,A Night in Casablanca,Groucho Marx,\Und,hotel owner,|
1377,AM35,A Night in Casablanca,Chico Marx,\Und,camel taxi fleet manager,|
1378,AM35,A Night in Casablanca,Harpo Marx,\Und,RZ:elevator operator r,
1379,AM35,A Night in Casablanca,Sig Rumann,\Und,"nazi ""Reiner""",|
1380,AM35,A Night in Casablanca,Lisette Verea,\Und,pretty refugee,|
1381,AM35,A Night in Casablanca,Charles Drake,\Und,und,|
1382,AM35,A Night in Casablanca,Lois Collier,\Und,und,|
1383,AM35,A Night in Casablanca,Dan Seymour,\Und,und,|
1384,AM36,Angel On My Shoulder,Paul Muni,\Und,"dead gangster, becomes judge",|
1385,AM36,Angel On My Shoulder,Claude Rains,\Und,RZ:devil,|
1386,AM36,Angel On My Shoulder,Anne Baxter,\Und,und,|
1387,AM36,Angel On My Shoulder,Erskine Sanford,\Und,und,|
1388,AM36,Angel On My Shoulder,Hardie allbright,\Und,und,|
1389,AMa10,Prisoner of War,Ronald reagan,\Und,"prisoner, suspected communist",|
1390,AMa10,Prisoner of War,Oscar Homolka,\Und,Korean warden,|
1391,AMa10,Prisoner of War,Steve Forrest,\Und,pow,|
1392,AMa10,Prisoner of War,Harry Morgan,\Und,und,|
1393,AMa10,Prisoner of War,Darryl Hickman,\Und,und,|
1394,AMa50,The Longest Day,John Wayne,\Und,und,|
1395,AMa50,The Longest Day,Robert Mitchum,\Und,und,|
1396,AMa50,The Longest Day,Henry Fonda,\Und,und,|
1397,AMa50,The Longest Day,Robert Ryan,\Und,und,|
1398,AMa50,The Longest Day,Rod Steiger,\Und,und,|
1399,AMa50,The Longest Day,Robert Wagner,\Und,und,|
1400,AMa50,The Longest Day,Paul Anka,\Und,und,|
1401,AMa50,The Longest Day,Fabian,\Und,und,|
1402,AMa50,The Longest Day,Tommy Sands,\Und,und,|
1403,AMa50,The Longest Day,Richard Beymer,\Und,und,|
1404,AMa50,The Longest Day,Mel Ferrer,\Und,und,|
1405,AMa50,The Longest Day,Jeffrey Hunter,\Und,und,|
1406,AMa50,The Longest Day,Sal Mineo,\Und,und,|
1407,AMa50,The Longest Day,Roddy McDowall,\Und,und,|
1408,AMa50,The Longest Day,Stuart Whitman,\Und,und,|
1409,AMa50,The Longest Day,Steve Forrest,\Und,und,|
1410,AMa50,The Longest Day,Eddie Albert,\Und,und,|
1411,AMa50,The Longest Day,Edmond OBrien,\Und,und,|
1412,AMa50,The Longest Day,Red Buttons,\Und,und,|
1413,AMa50,The Longest Day,Tom Tryon,\Und,und,|
1414,AMa50,The Longest Day,Alexander Knox,\Und,und,|
1415,AMa50,The Longest Day,Ray Danton,\Und,und,|
1416,AMa50,The Longest Day,Ron Randell,\Und,und,|
1417,AMa50,The Longest Day,Richard Burton,\Und,und,|
1418,AMa50,The Longest Day,Donald Houston,\Und,und,|
1419,AMa50,The Longest Day,Kenneth Moore,\Und,und,|
1420,AMa50,The Longest Day,Peter Lawford,\Und,und,|
1421,AMa50,The Longest Day,Richard Todd,\Und,und,|
1422,AMa50,The Longest Day,Leo Genn,\Und,und,|
1423,AMa50,The Longest Day,John Gregson,\Und,und,|
1424,AMa50,The Longest Day,Sean Connery,\Und,und,|
1425,AMa50,The Longest Day,JeanLouis Barrault,\Und,und,|
1426,AMa50,The Longest Day,Arletty,\Und,und,|
1427,AMa50,The Longest Day,Curt Jurgens,\Und,und,|
1428,AMa56,Crack in the World,Dana Andrews,\Und,und,|
1429,AMa56,Crack in the World,Janette Scott,\Und,und,|
1430,AMa56,Crack in the World,Kieron Moore,\Und,und,|
1431,AMa56,Crack in the World,Alexander Knox,\Und,und,|
1432,AMa60,Birds Do It,Soupy Sales,\Und,"janitor, can fly",|
1433,AMa60,Birds Do It,Beverly Adams,\Und,attracted,|
1434,AMa60,Birds Do It,Tab Hunter,\Und,und,|
1435,AMa60,Birds Do It,Arthur OConnell,\Und,und,|
1436,AMa69,Charley's Aunt,Jack Benny,\Und,"student, imporsonates aunt",|
1437,AMa61,Around the World Under the Sea,Lloyd Bridges,\Und,scientist,|
1438,AMa61,Around the World Under the Sea,Shirley Eaton,\Und,und,|
1439,AMa61,Around the World Under the Sea,Brian Kelly,\Und,und,|
1440,AMa61,Around the World Under the Sea,David McCallum,\Und,und,|
1441,AMa61,Around the World Under the Sea,Keenan Wynn,\Und,und,|
1442,AMa61,Around the World Under the Sea,Marshall Thompson,\Und,und,|
1443,AMa61,Around the World Under the Sea,Gary Merritt,\Und,und,|
1444,AMD3,The Snow Devils,Jack Stuart,\Und,und,|
1445,AMD3,The Snow Devils,Amber Collins,\Und,und,|
1446,AMD3,The Snow Devils,Rene Baldwin,nan,\Und,RU:
1447,AMD3,The Snow Devils,Wilbert Bradley,\Und,und,|
1448,AMD3,The Snow Devils,Giacomo RossiStuart,\Und,RZ,|
1449,AMD3,The Snow Devils,Ombretta Colli,\Und,RZ,|
1450,AMD10,The Rip Off,Lee VanCleef,\Und,und,|
1451,AMD10,The Rip Off,Karen Black,\Und,und,|
1452,AMD10,The Rip Off,Edward Albert,\Und,und,|
1453,AMD10,The Rip Off,Robert Alda,\Und,und,|
1454,AMD10,The Rip Off,Lionel Stander,\Und,und,|
1455,AMD13,The Stranger and the Gunfighter,Lee VanCleef,\Und,und,|
1456,AMD13,The Stranger and the Gunfighter,Lo Lieh,\Und,und,|
1457,AMD16,"Yor, the Hunter from the Future",Reb Brown,\Und,prehistoric man,|
1458,AMD16,"Yor, the Hunter from the Future",Corinne Clery,\Und,und,|
1459,AMD16,"Yor, the Hunter from the Future",John Steiner,\Und,und,|
1460,AMD16,"Yor, the Hunter from the Future",Carole Andre,\Und,und,|
1461,AMy3,Steelyard Blues,Donald Sutherland,\Und,"free-thinking demolition driver, refits a PBY Catalina",|
1462,AMy3,Steelyard Blues,Jane Fonda,\Und,"fancy hooker, goes for freedom",|
1463,AMy3,Steelyard Blues,Peter Boyle,\Und,mental case,|
1464,AMy3,Steelyard Blues,Gordon Goodrow,\Und,und,|
1465,AMy3,Steelyard Blues,Howard Hesseman,\Und,und,|
1466,AMy3,Steelyard Blues,John Savage,\Und,und,|
1467,AMy3,Steelyard Blues,Melvin Stewart,\Und,und,|
1468,AMy3,Steelyard Blues,Richard Schaal,\Und,und,|
1469,AMe10,Private Lessons,Sylvia Kristel,\Und,sexy housekeeper,|
1470,AMe10,Private Lessons,Howard Hesseman,\Und,und,|
1471,AMe10,Private Lessons,Eric Brown,\Und,"shy boy, seduced by housekeeper",|
1472,AMe10,Private Lessons,Ed Begley~jr,\Und,und,|
1473,AMe10,Private Lessons,Pamela Bryant,\Und,und,|
1474,AMe18,Police Academy 5,G.W. Bailey,\Und,"ambitious luitenant ""Harris""",|
1475,AMe18,Police Academy 5,David Graf,\Und,"nervous cop ""Tackleberry""",|
1476,AMe18,Police Academy 5,George Gaynes,\Und,"aging commandant, kidnapped, extended ""Lasard""",|
1477,AMe18,Police Academy 5,s a,\Und,"tall black cop, saves dean",|
1478,AMe18,Police Academy 5,Bubba Smith,\Und,"captain, saves Harris ""Hightower""",|
1479,AMe18,Police Academy 5,George R. Robertson,\Und,und,|
1480,AMe18,Police Academy 5,Michael Winslow,\Und,"sound artist ""Jones""",|
1481,AMe18,Police Academy 5,Leslie Easterbrook,\Und,"trainee ""Callahan""",|
1482,AMe18,Police Academy 5,Janet Jones,\Und,"policewoman, fends cop off ""Kate""",|
1483,AMe18,Police Academy 5,James Hampton,\Und,mayor,|
1484,AMe18,Police Academy 5,Lance Kinsey,\Und,"dumb cop, cousin ""Proctor""",|
1485,AMe18,Police Academy 5,Matt McCoy,\Und,"RN:""Nick""",|
1486,AMe18,Police Academy 5,Rene Auberjonois,\Und,"RN:""Tony""",|
1487,AMe18,Police Academy 5,James Hampton,\Und,mayor of Miami,|
1488,AMe18,Police Academy 5,Marion Ramsey,\Und,"RN:""Hanks""",|
1489,AMe18,Police Academy 5,Archie Hahn,\Und,"RZ:jewel thief ""Mouse""",|
1490,AMe18,Police Academy 5,Jerry Lazarus,\Und,"RZ:Jewel thief sidekick ""Sugar""",|
1491,AMe18,Police Academy 5,Tab Thacker,\Und,"heavy cop ""House""",|
1492,AMe20,Police Academy 6,Bubba Smith,\Und,RZ:inept goon,|
1493,AMe20,Police Academy 6,Michael Winslow,\Und,RZ:bungling cadet,|
1494,AMg7,The Golden Arrow,Tab Hunter,\Und,"thief, becomes sultan ""Hassan""",|
1495,AMg7,The Golden Arrow,Rossana Podesta,\Und,und,|
1496,AmH10,Fast Times at Ridgemont High,Sean Penn,\Und,randy teenager,|
1497,AmH10,Fast Times at Ridgemont High,Phoebe Cates,\Und,und,|
1498,AmH10,Fast Times at Ridgemont High,Jennifer Jason Leigh,\Und,und,|
1499,AmH10,Fast Times at Ridgemont High,Brian Backus,\Und,und,|
1500,AmH10,Fast Times at Ridgemont High,Robert Romanus,\Und,und,|
1501,AmH10,Fast Times at Ridgemont High,Judge Reinhold,\Und,und,|
1502,AmH10,Fast Times at Ridgemont High,Hallie Eckstein,\Und,und,|
1503,AmH10,Fast Times at Ridgemont High,Ray Walston,\Und,und,|
1504,AmH10,Fast Times at Ridgemont High,Eric Stoltz,\Und,und,|
1505,AmH20,National Lampoon's European Vacation,Chevy Chase,\Und,"father, wins prize ""Clark Griswold""",|
1506,AmH20,National Lampoon's European Vacation,Beverly DAngelo,\Und,"wife ""Lisa""",|
1507,AmH20,National Lampoon's European Vacation,Jason Lively,\Und,son,|
1508,AmH20,National Lampoon's European Vacation,Dana Hill,\Und,"daughter, pines",|
1509,AmH20,National Lampoon's European Vacation,Eric Idle,\Und,und,|
1510,AmH20,National Lampoon's European Vacation,s a,\Und,"queen, in dream ""Elizabeth""",|
1511,AmH20,National Lampoon's European Vacation,s a,\Und,"princess, in dream ""Diane""",|
1512,AMi10,"Truly, Madly, Deeply",Juliet Stevenson,\Und,"romantic ""Nina""",|
1513,AMi10,"Truly, Madly, Deeply",Alan Rickman,\Und,"dead lover, cellist, reappears",|
1514,AMi10,"Truly, Madly, Deeply",Michael Maloney,\Und,"teacher, new boyfriend",|
1515,AMi10,"Truly, Madly, Deeply",Christopher Rozycki,\Und,Polish admirer,|
1516,AMi10,"Truly, Madly, Deeply",Stella Maris,\Und,unmarried friend. mother,|
1517,AMi10,"Truly, Madly, Deeply",David Ryall,\Und,"admirer, exterminator",|
1518,AMi10,"Truly, Madly, Deeply",Deborah Findlay,\Und,sister,|
1519,AMi10,"Truly, Madly, Deeply",Bill Paterson,\Und,RZ:boss,|
1520,AMi10,"Truly, Madly, Deeply",Pierre-Grahame duFrisk,\Und,dead musician,|
1521,AMi12,Mr.~Wonderful,Matt Dillon,\Und,"divorced, ttries to find husband for ex-wife",|
1522,AMi12,Mr.~Wonderful,Annabella Sciora,\Und,eex-wife,|
1523,AMi12,Mr.~Wonderful,MarieLouise Parker,\Und,und,|
1524,AMi12,Mr.~Wonderful,Willliam Hurt,\Und,und,|
1525,AMi15,The English Patient,Ralph Fiennes,\Und,"archeaeologist, disfigured in crash ""Almasy""",|
1526,AMi15,The English Patient,Juliette Binoche,\Und,"wife of spy, seduces archaeolgist",
1527,AMi15,The English Patient,Kristin Scott Thomas,\Lov,"dedicated nurse ""Katherine""",
1528,AMi15,The English Patient,Naveen Andrews,\Und,"Sikh bomb expert, loves nurse",|
1529,AMi15,The English Patient,William Dafoe,\Und,"thief, knows Almasy's past ""Caravaggio""",|
1530,AMi15,The English Patient,Colin Firth,\Und,"spy, trusts wife",|
1531,AMk10,Pasazerka,Aleksandra Slaska,\Und,former cooncentration camp official,|
1532,AMk10,Pasazerka,Anna Ciepielewska,\Und,former camp inmate,|
1533,AML1,The Incredible Two-headed Monster,Bruce Dern,\Und,"homocidical maniac, gets second head",|
1534,AML1,The Incredible Two-headed Monster,Pat Priest,\Sci,RZ:mad doctor,|
1535,AML1,The Incredible Two-headed Monster,Casey Kasem,\Und,und,|
1536,AML1,The Incredible Two-headed Monster,Barry Kroeger,\Und,und,|
1537,AmN1,Look Who's Talking,Kirstie Alley,\Her,"unwed mother, drems of hanging from clock",|
1538,AmN1,Look Who's Talking,John Travolta,\Sav,helpful taxi driver,|
1539,AmN1,Look Who's Talking,George Segal,\Wmp,"married father, wimp",|
1540,AmN1,Look Who's Talking,Abe Vigoda,\Inn,adopted grandpa,|
1541,AmN1,Look Who's Talking,Olympia Dukakis,\Und,grandmother,|
1542,AmN1,Look Who's Talking,Bruce Willis,\Voi\Inn,baby's voice,|
1543,Amo13,The Gun in Betty Lou's Handbag,Penelope Ann Miller,\Und,"shy librarian, confesses falsely to murder ""Betty Lou""",|
1544,Amo13,The Gun in Betty Lou's Handbag,Eric Thal,\Und,"cop, Betty's husband ""Alex""",|
1545,Amo13,The Gun in Betty Lou's Handbag,William Forsythe,\Und,"vicious Cajun crime boss, boss of victim, wanted by FBI",|
1546,Amo13,The Gun in Betty Lou's Handbag,Cathy Moriarity,\Und,"hooker, Betty's jail mate, teacher ""Reba Bush""",|
1547,Amo13,The Gun in Betty Lou's Handbag,Julianne Moore,\Und,und,|
1548,AMr10,"Highlander ""the Final Dimension""",Christopher Lambert,\Und,supernatural Scot,|
1549,AMr10,"Highlander ""the Final Dimension""",Mario van Peebles,\Und,old wizard,|
1550,AMr10,"Highlander ""the Final Dimension""",Deborah Unger,\Und,und,|
1551,AMs25,Hon Dansade en Sommar,Folke Sundquist,\Und,student on vacation,|
1552,AMs25,Hon Dansade en Sommar,Ulla Jacobson,\Und,"country girl, nude",|
1553,AMs25,Hon Dansade en Sommar,s a,\Und,pastor,|
1554,AMe10,Night of the Cobra Woman,Joy Bang,\Und,girlfriend of student,|
1555,AMe10,Night of the Cobra Woman,Marlene Clark,\Und,bra woman,|
1556,AMe10,Night of the Cobra Woman,Roger Garrett,\Und,biology student,|
1557,AMe10,Night of the Cobra Woman,Slash Marks,\Und,und,|
1558,AMz1,The China Lake Murders,Michael Parks,\Und,murderous L.A. cop,|
1559,AMz1,The China Lake Murders,Tom Skerritt,\Und,town sheriff,|
1560,AMz5,Back to School,Rodney Dangerfield,\Und,clothes sales exec,|
1561,AMz5,Back to School,Sally Kellerman,\Und,RZ:student,|
1562,AMz5,Back to School,Buck Young,\Und,college-going son,|
1563,AMz5,Back to School,Keith Barcs,\Und,"RSU """"",|
1564,AMz5,Back to School,Roland Downey~jr,\Und,und,|
1565,AMz5,Back to School,Paxton Whitehead,\Und,RZ:critical professor,|
1566,AMz5,Back to School,Adrienne Bobes,\Und,RSU,|
1567,AMz5,Back to School,Terry Farrar,\Und,und,|
1568,AMz5,Back to School,Ned Beatty,\Und,und,|
1569,AN10,Too Much Too Soon,Dorothy Malone,\Und,"starlet, joins father ""Diana Barrymore""",|
1570,AN10,Too Much Too Soon,Errol Flynn,\Und,"drunken actor father ""Barrymore""",|
1571,AN10,Too Much Too Soon,Efrem Zimbalist~jr,\Und,und,|
1572,AN10,Too Much Too Soon,Neva Patterson,\Und,und,|
1573,AN10,Too Much Too Soon,Martin Milner,\Und,und,|
1574,AN10,Too Much Too Soon,Ray Danton,\Und,und,|
1575,AN10,Too Much Too Soon,Murray Hamilton,\Und,und,|
1576,AnA10,The Gunslinger,John Garko,\Und,und,|
1577,AnA10,The Gunslinger,Tony Vilar,\Und,und,|
1578,AnB5,Honeymoon in Vegas,Nichalos Cage,\Und,groom,|
1579,AnB5,Honeymoon in Vegas,Sarah Jessica Parker,\Und,"bride, lost in poker game",|
1580,AnB5,Honeymoon in Vegas,James Caan,\Und,wins bride,|
1581,AnB20,The Freshman,Matthew Broderick,\Und,movie school student from Vermont,|
1582,AnB20,The Freshman,Marlon Brando,\Und,dealer,|
1583,AnB20,The Freshman,Penelope Ann Miller,\Und,daughter,|
1584,AnB20,The Freshman,Bruno Kirby,\Und,weasely nephew,|
1585,AnB20,The Freshman,Paul Benedict,\Und,und,|
1586,AnB20,The Freshman,Maximilian Schell,\Und,und,|
1587,AnB20,The Freshman,B.D. Wong,\Und,und,|
1588,AnB20,The Freshman,Bert Parks,\Und,singer,|
1589,AnB10,So Fine,Ryan ONeal,\Her,professor,|
1590,AnB10,So Fine,Jack Warden,\inn,father,|
1591,AnB10,So Fine,Mariangela Melato,\Vil,gangster,|
1592,AnB10,So Fine,Richard Kiel,\Vil,gangster,|
1593,AnB26,Striptease,Demi Moore,\Und,"mother, needs money ""Evelyn Grant""",|
1594,AnB26,Striptease,Burt Reynolds,\Und,nightclub owner,|
1595,AnB26,Striptease,s a,\Und,ex-husband,|
1596,AnB26,Striptease,s a,\Und,bouncer,|
1597,AnC10,Smokey and the Hotwire Gang,James Keach,\Und,und,|
1598,AnC10,Smokey and the Hotwire Gang,Tony Lorea,\Und,und,|
1599,AnC10,Smokey and the Hotwire Gang,Alvy Moore,\Und,und,|
1600,AnC10,Smokey and the Hotwire Gang,Skip Young,\Und,und,|
1601,AnC10,Smokey and the Hotwire Gang,Stanley Livingston,\Und,und,|
1602,AnC10,Smokey and the Hotwire Gang,George Barris,\Und,und,|
1603,AnC10,Smokey and the Hotwire Gang,Carla Ziegfeld,\Und,und,|
1604,AnD10,L'Uomo Meccanico,Andre Deed,\Und,"RN:""Saltarello""",|
1605,AnD10,L'Uomo Meccanico,Valentina Frascaroli,\Und,"adventuress ""Mado""",|
1606,AnD10,L'Uomo Meccanico,Mathilde Lambert,\Und,"RN:""elena D'Ara""",|
