,Title,Year,Director,Production,Studio,Genre,Award
1650,The Westerner,1940,Wyler,PN:Sam Goldwyn,Goldwyn,West,H**
1651,The Little Foxes,1941,Wyler,S.Goldwyn,SU:,,"AAN, H***, AAN dir"
1652,Mrs.~Miniver,1942,Wyler,PN:,SU:,Drama,AA
1653,The Memphis Belle,1944,Wyler,PN:War Activities Comission,SU:,Documentary,H
1654,The Fighting Lady,1945,Wyler,PN:,SU:,Documentary,aw
1655,The Best Years of our Lives,1946,Wyler,S.Goldwyn,Goldwyb,Drama,"H****, AA, AA dir"
1656,The Heiress,1949,Wyler,PN:,SU:,Drama,"AAN, AAN dir, CG****"
1657,Detective Story,1951,Wyler,Wyler,SU:,RomCom,AAN dir
1658,Carrie,1952,Wyler,Wyler,Paramount,Drama,H**
1659,Roman Holiday,1953,Wyler,Wyler,"Cinecitta, Paramount",Romantic,"AAN, AAN dir, H**"
1660,Desperate Hours,1955,Wyler,Wyler,Paramount,Drama,H*
1661,The Friendly Persuasion,1956,Wyler,PN:,SU:,Ctxx,aw
1662,The Big Country,1958,Wyler,"Wyler, Gregory Peck",U.A.,West,H***
1663,Ben Hur,1959,Wyler,Zimbalist,MGM,,"AA, AA dir, H**"
1664,The Children's Hour,1962,Wyler,Wyler,"U.A., Mirisch",Drama,aw
1665,The Collector,1965,Wyler,PN:,SU:,Ctxx,aw
1666,How to Steal a Million,1966,Wyler,PN:Fred Kohlmar,Fox,Comedy,aw
1667,Funny Girl,1968,Wyler,Ray~Stark,Columbia,Musical,"H**, AAN"
1668,The Liberation of L.B. Jones,1970,Wyler,PN: Ronald Lubin,S:Columbia,Suspense,H*
1669,Rien que les Heures,1926,Cavalcanti,PN:,SU:,Ctxx,aw
1670,En Rade,1927,Cavalcanti,PN:,SU:,Ctxx,aw
1671,Sea Fever,1929,Cavalcanti,PN:,SU:,Ctxx,aw
1672,North Sea,1938,Cavalcanti,PN:,SU:,Ctxx,aw
1673,Men of the Lightship,1941,Cavalcanti,PN:,SU:,Ctxx,aw
1674,Went the Day Well?,1942,Cavalcanti,PN:S.C. Balcon,Ealing,Drama,H***
1675,Champagne Charlie,1945,Cavalcanti,PN:,SU:,Ctxx,aw
1676,Dead of Night,1945,Cavalcanti,"Sidney Cole, John Croydon",Ealing,Horror,H****
1677,Nicholas Nickleby,1947,Cavalcanti,"PN:John Croydon, Michael Balcon",Ealing,"Drama,Comedy",H**
1678,They made Me a Fugitive,1947,Cavalcanti,PN:,SU:,Ctxx,aw
1679,The First Gentleman,1948,Cavalcanti,PN:,SU:,Ctxx,aw
1680,For Them That Trespass,1949,Cavalcanti,PN:,SU:,Ctxx,aw
1681,O Canto do Mar,1953,Cavalcanti,PN:,SL:Brazil,Ctxx,aw
1682,Herr Puntila,1955,Cavalcanti,PN:,SL:Germany,Ctxx,aw
1683,La Prima Notte,1958,Cavalcanti,PN:,SL:Italy,Ctxx,aw
1684,Yerma,1962,Cavalcanti,PN:,SL:Italy,,H-
1685,Svengali,1931,Mayo,PN:,SU:,Ctxx,aw
1686,Ever in My Heart,1931,Mayo,PN:,SU:,Ctxx,aw
1687,Bordertown,1934,Mayo,Robert Lord,Warners,Drama,H*
1688,Go Into Your Dance,1935,Mayo,PN:,SU:,Ctxx,aw
1689,The Petrified Forest,1936,Mayo,Blanke,Warners,Drama,H**
1690,Gambling Lady,1936,Mayo,PN:,SU:,Ctxx,aw
1691,Black Legion,1937,Mayo,PU:,S:Warners,Drama,aw
1692,Adventures of Marco Polo,1938,Mayo,S.Goldwyn,Goldwyn,Advt,H*
1693,The House Across the Bay,1940,Mayo,Wanger,U.A.,Drama,H
1694,Charley's Aunt,1941,Mayo,PN:William Perlberg,Fox,,H**
1695,Orchestra Wives,1942,Mayo,PN:William LeBaron,Fox,Musical,H**
1696,A Night in Casablanca,1945,Mayo,PN:David A. Loew,SL:USA,,H**
1697,Angel On My Shoulder,1946,Mayo,PN:Charles R. Rogers,U.A.,Fant,H**
1698,Carnival Boat,1926,Rogell,PN:Charlss R. Rogers,RKO-Pathe,Advt,aw
1699,Mamba,1932,Rogell,PN:,SU:,CTxx,aw
1700,Argentine Nights,1940,Rogell,PN:,SU:,CTxx,aw
1701,Trouble Chaser,1940,Rogell,PN:,SU:,CTxx,aw
1702,The Black Cat,1941,Rogell,PN:Burt Kelly,Universal,Myst,H*
1703,Tight Shoes,1942,Rogell,PN:,SU:,CTxx,aw
1704,In Old Oklahoma,1943,Rogell,PN:,SU:,CTxx,aw
1705,Heaven Only Knows,1947,Rogell,PN:,SU:,CTxx,aw
1706,Northwest Stampade,1948,Rogell,PN:,SU:,CTxx,aw
1707,The Admiral Was a Lady,1943,Rogell,PN:,SU:,CTxx,aw
1708,Men Agains Speed,1958,Rogell,PN:,SU:,Actn,aw
1709,The Lost World,1925,Schoedsack,PN:,SU:,SciF,aw
1710,The Creation,1926,Schoedsack,PN:,SU:,SciF,aw
1711,Chang,1927,Schoedsack,PN:,SU:,Ctxx,aw
1712,The Four Feathers,1929,Schoedsack,Selznick,PFL,Advt,
1713,The Hounds of Zaroff,1932,Schoedsack,PN:,SU:,Ctxx,aw
1714,King Kong,1933,Schoedsack,"Selznick, M.C.Cooper",RKO,Advt,H****
1715,Son of Kong,1934,Schoedsack,PN:,SU:,Advt,
1716,Dr.~Cyclops,1939,Schoedsack,PN:,SU:,Ctxx,aw
1717,Mighty Joe Young,1949,Schoedsack,"J.Ford, M.C.Cooper",RKO,Advt,
1718,The Strong Man,1926,Capra,PN:,SU:,Comedy,aw
1719,Long Pants,1927,Capra,PN:,SU:,Comedy,aw
1720,The Younger Generation,1928,Capra,PN:Harry Cohn,Columbia,Ctxx,aw
1721,Rain or Shine,1931,Capra,PN:,SU:,Comedy,|
1722,The Miracle Woman,1931,Capra,PN:,SU:,Bio-Pic,|
1723,Platinum Blonde,1932,Capra,PN:,SU:,Comedy,aw
1724,American Madness,1932,Capra,,Columbia,Drama,H**
1725,The Bitter Tea of General Yen,1933,Capra,PN:,SU:,Drama,
1726,Lady For a Day,1933,Capra,PN:,Columbia,Comedy,"H***, AAN, AAN dir"
1727,It Happened One Night,1934,Capra,Capra,Columbia,"Romantic, Musical","F18,H****, AA, AA dir"
1728,Mr.~Deeds Goes to Town,1936,Capra,Capra,Columbia,Romantic,"AAN dir, H***, AAN"
1729,Lost Horizon,1937,Capra,Capra,Columbia,"Romantic, Advt","H****, AAN"
1730,You Can't Take It With You,1938,Capra,Capra,Columbia,,
1731,Mr.~Smith goes to Washington,1939,Capra,Capra,Columbia,,"H****, AAN, AAN dir"
1732,Meet John Doe,1941,Capra,PN:,SU:,Ctxx,AAN Dir
1733,Arsenic and Old Lace,1944,Capra,PN:,Warners,Myst,"F98, H***"
1734,It's a Wonderful Life,1946,Capra,Capra,RKO-Liberty,"Fant,Romantic","H****, AAN, AAN dir, CC\#4"
1735,State of the Union,1948,Capra,Capra,"MGM, Liberty",Drama,H***
1736,A Hole in the Head,1959,Capra,PN:Frank Sinatra,Ua.A.,"Comedy,Musical",H*
1737,A Pocketful of Miracles,1961,Capra,PN:,SU:,Comedy,
1738,Our Mr.Sun,1947,Capra,PU:,S:CBS,"TV, ScFi, religous",aw
1739,Die Kreuzer Sonate,1926,Machaty,PN:,SU:,CTxx,
1740,Erotikon,1929,Machaty,PN:,"Gem film, Warners",Drama,aw
1741,Extase,1933,Machaty,,"Universal Elektra, SL:\Cz SD:Warners",Romantic,"H*, venice dir CCVN"
1742,Within the Law,1939,Machaty,PN:,MGM,RomCom,aw
1743,Jealousy,1945,Machaty,Machaty,S:Republic,Drama,H*
1744,Maciste in Hell,1926,Brignone,PN:,FertPittalunga,Actn,aw
1745,Dawn Patrol,1930,Hawks,PN:,Warners,Advt,H**
1746,Scarface,1932,Hawks,H.Hughes,RKO,Actn,H***
1747,Tiger Shark,1932,Hawks,PN:,Warners,Drama,H*
1748,Today We Live,1933,Hawks,Hawks,MGM,Drama,H*
1749,Twentieth Century,1934,Hawks,PN:Hawks,Columbia,Comedy,H***
1750,Road to Glory,1936,Hawks,PN:,SU:,Ctxx,aw
1751,Bringing Up Baby,1938,Hawks,Hawks,RKO,Comedy,"H***, F05"
1752,Only Angels Have Wings,1939,Hawks,Hawks,Columbia,Advt,H**
1753,His Girl Friday,1940,Hawks,Hawks,Columbia,Comedy,"F16, H****"
1754,Ball of Fire,1944,Hawks,S.Goldwyn,Goldwyn,Comedy,H*
1755,To Have and Have Not,1944,Hawks,Hawks,Warners,Comedy,H**
1756,The Big Sleep,1946,Hawks,Hawks,Warners,"Suspense,Noir",H***
1757,A Song is Born,1948,Hawks,PN:,Goldwyn,Musical,H*
1758,Red River,1948,Hawks,PN:,SU:,"Epic, West",
1759,I Was A Male War Bride,1949,Hawks,S.C.Siegel,Fox,"Comedy,Romantic",H**
1760,The Big Sky,1952,Hawks,PN:,SU:,Ctxx,aw
1761,Monkey Business,1952,Hawks,PN:,SU:,Ctxx,aw
1762,Gentlemen Prefer Blondes,1953,Hawks,PN:S.C.Siegel,Fox,"Comedy, Romantic",H*
1763,Land of the Pharaos,1955,Hawks,PN:,S:Warners,Epic,aw
1764,Rio Bravo,1958,Hawks,PN:,SU:,West,aw
1765,Hatari!,1961,Hawks,Hawks,S:Paramount,Advt,H*
1766,Man's Favorite Sport,1964,Hawks,PN:,SU:,Ctxx,aw
1767,Red Line 7000,1965,Hawks,PN:,SU:,Ctxx,aw
1768,El Dorado,1967,Hawks,PU:,SU:,West,aw
1769,Rio Lobo,1970,Hawks,PN:,SU:,West,aw
1770,The Singing Fool,1928,Bacon,PN:,Warners,Ctxx,aw
1771,Moby Dick,1930,Bacon,PN:,Warners,Drama,H*
1772,Miss Pinkerton,1932,Bacon,PN:,Warners,Ctxx,aw
1773,Footlight Parade,1933,Bacon,PN:Robert Lord,Warners,Musical,"NFR, H***"
1774,42nd Street,1933,Bacon,PN:,Warners,Musical,aw
1775,Picture Snatcher,1933,Bacon,PN:,Warners,Ctxx,aw
1776,Wonder Bar,1934,Bacon,R.Lloyd,Warners,,H**
1777,Here Comes the Navy,1934,Bacon,PN:,Warners,Ctxx,aw
1778,Devil Dogs of the Air,1935,Bacon,PN:,Warners,Ctxx,aw
1779,The Goldiggers of 1937,1937,Bacon,Wallis,Warners,Musical,H*
1780,Marked Woman,1937,Bacon,PN:,Warners,Drama,aw
1781,San Quentin,1937,Bacon,Bischoff,Warners,,H*
1782,A Slight Case of Murder,1938,Bacon,Bischoff,Warners,"Suspense,Comedy",H***
1783,Boy Meets Girl,1938,Bacon,PN:,Warners,Ctxx,aw
1784,Wings of the Navy,1939,Bacon,PN:,Warners,Actn,aw
1785,The Oklahoma Kid,1939,Bacon,PN:,Warners,West,aw
1786,Invisible Stripes,1939,Bacon,Wallis,Warners,Drama,H
1787,Knut Rockne --- All-American,1940,Bacon,Wallis,Warners,Bio-Pic,
1788,Brother Orchid,1940,Bacon,PN:,Warners,"Drama, RomCom",aw
1789,Action in the North Atlantic,1943,Bacon,PN:,Warners,,
1790,Sunday Dinner for a Soldier,1944,Bacon,PN:,Warners,Ctxx,aw
1791,Wake Up and Dream,1946,Bacon,PN:Walter Morosco,Fox,Romantic,H
1792,Tm:I Wonder Who's Kissing Her Now?,1947,Bacon,PN:,SU:,"Bio-Pic,Musical",CG***
1793,Miss Grant Takes Richmond,1950,Bacon,PN:,SU:,Comedy,|
1794,Golden Girl,1951,Bacon,PN:George Jessel,Fox,"Musical, Bio-Pic",H*
1795,She Couldn't Say No,1952,Bacon,PN:Robert Sparks,S:RKO,Comedy,
1796,The French Line,1954,Bacon,PN:Edmund Granger,RKO,"Musical, Comedy",
1797,The Sea Beast,1929,M.Webb,PN:,SU:,Drama,
1798,Glorifying the American Girl,1929,M.Webb,Ziegfeld,SU:,Musical,
1799,The Show-Off,1926,StClair,PN:,Paramount,Comedy,aw
1800,The Bat,1926,R.West,PN:,SU:,"Comedy,Drama, Suspense,Fant",aw
1801,The Mysterious Dr.~Fu Manchu,1929,R.V.Lee,PN:,SU:,Myst,aw
1802,Zoo in Budapest,1933,R.V.Lee,PN:,SU:,Ctxx,aw
1803,The Count of Monte Christo,1934,R.V.Lee,PN:Edward Small,Reliance,Advt,H***
1804,The Three Musketeers,1935,R.V.Lee,PN:,SU:,Advt,|
1805,Love From A Stranger,1936,R.V.Lee,PN:Max Schach,Trafalgar,Suspense,H*
1806,The Toast of New York,1937,R.V.Lee,PN:Edward Small,RKO,Bio-Pic,H**
1807,Mother Carey's Chickens,1938,R.V.Lee,Berman,RKO,Drama,H
1808,The Son of Frankenstein,1939,R.V.Lee,R.V.Lee,Universal,Horror,H***
1809,Tower of London,1939,R.V.Lee,Lee,Universal,,H**
1810,The Son of Monte Christo,1941,R.V.Lee,Small,U.A.,Advt,H*
1811,The Bridge of San Luis Rey,1944,R.V.Lee,PN:,SU:,Ctxx,aw
1812,Roaring West,1936,Ray~Taylor,PN:,SU:,West,aw
1813,Dick Tracy,1937,Ray~Taylor,PN:,SU:,Ctxx,aw
1814,The Spider's Web,1938,Ray~Taylor,,Columbia,Suspense,H
1815,Mat,1926,Pudovkin,PN:,SU:,Drama,aw
1816,The End of St. Petersburg,1927,Pudovkin,PN:,SU:,Ctxx,aw
1817,Storm Over Asia,1928,Pudovkin,PN:,SU:,Ctxx,aw
1818,The Deserter,1933,Pudovkin,PN:,SU:,Ctxx,aw
1819,General Suorov,1941,Pudovkin,PN:,SU:,Ctxx,aw
1820,Ludwig,1929,Dieterle,PN:,SU:,Ctxx,aw
1821,The Last Flight,1931,Dieterle,,Warners,"Drama,Romantic",H***
1822,Ihre Majestaet Befehlt,1931,Dieterle,PN:,SU:,Romantic,
1823,La majeste demande,1931,Dieterle,PN:,SU:,Romantic,
1824,Her Majesty Love,1931,Dieterle,PU:,S:Warners,Romantic,H
1825,Satan meets a Lady,D:Dieterle,PN:,SU:,bnw,,
1826,Lawyer Man,1932,Dieterle,PN:,SU:,Ctxx,
1827,Adorable,1933,Dieterle,PN:,Fox,Romantic,H*
1828,Firebird,1934,Dieterle,PN:,Warners,Suspense,H
1829,Fog Over Frisco,1934,Dieterle,Blanke,Warners,Suspense,H***
1830,Madame du Barry,1934,Dieterle,PN:,Warners,Romantic,H
1831,A Midsummernight's Dream,1935,Dieterle,PN:Max Reinhardt,Warners,Fant,"H***, AAN, [47]"
1832,The Story of Louis Pasteur,1935,Dieterle,PN:,SU:,Bio-Pic,|
1833,Satan Met A Lady,1936,Dieterle,Blanke,Warners,Suspense,H*
1834,The Life of Emile Zola,1937,Dieterle,PN:,SU:,CTxx,AA
1835,Blockade,1938,Dieterle,Wanger,SU:,Advt,
1836,Tm:Juarez,1939,Dieterle,"Wallis, Blanke",Warners,Bio-Pic,H**
1837,The Hunchback of Notre Dame,1939,Dieterle,Berman,RKO,Horror,H****
1838,Dr.~Ehrlich's Magic Bullet,1940,Dieterle,PN:Wolfgang Reinhardt,Warners,,H***
1839,A Dispatch from Reuters,1940,Dieterle,PN:Henry Blake,Warners,,H**
1840,All That Money Can Buy,1941,Dieterle,Dieterle,RKO,Drama,H****
1841,Kismet,1944,Dieterle,PN:,SU:,Ctxx,aw
1842,I'll Be Seeing You,1944,Dieterle,Schary,Selznick,Romantic,H**
1843,Love Letters,1945,Dieterle,H.B.Wallistd> S:Paramount,bnw,H*,lc
1844,Portrait of Jennie,1948,Dieterle,Selznick,Selznick,\Tcol,"Romt,Fant"
1845,Rope of Sand,1949,Dieterle,Wallis,Paramount,bnw,"Actn,Romt"
1846,Dark City,1950,Dieterle,Wallis,Paramount,Suspense,H
1847,Volcano,1950,Dieterle,PN:,SU:,Disa,aw
1848,Peking Express,1951,Dieterle,PN:,SU:,Ctxx,aw
1849,The Turning Point,1952,Dieterle,PN:Irving Asher,Paramount,Drama,H*
1850,Salome,1953,Dieterle,PN:,SU:,Ctxx,aw
1851,Elephant Walk,1954,Dieterle,PN:Irving Asher,Paramount,Drama,H*
1852,Magic Fire,1956,Dieterle,PN:,SU:,"Bio-Pic, Musical",aw
1853,Mademoiselle from Armentieres,1926,Unknown55,PN:,SU:,Musical,aw
1854,Lili Marlene,1927,Unknown55,PN:,SU:,Musical,aw
1855,The Noose,1927,Jacobson?,PN:,Paramount?,|,
1856,Moskow In October,1927,Barret,PU:,SL:\Ru,Ctxx,
1857,I Walk Alone,1947,Haskin,Wallis,Paramount,Drama,H
1858,Treasure Island,1950,Haskin,PN:Perce Pearce,Disney,Fant,H*
1859,Tarzan's Peril,1951,Haskin,Lesser,RKO,Advt,aw
1860,Tm:Long John Silver,1953,Haskin,PN:,SU:,Advt,aw
1861,Tm:War of the Worlds,1953,Haskin,Pal,Paramount,ScFi,H*
1862,The Naked Jungle,1954,Haskin,Pal,Paramount,"Advt, Romantic",H*
1863,Tm:From the Earth to the Moon,1958,Haskins,PN:,SU:,CTxx,aw
1864,Captain Sinbad,1963,Haskin,PN:,SU:,Ctxx,aw
1865,Robinson Crusoe on Mars,1964,Haskin,PN:,SU:,ScFi,aw
1866,The General,1927,Bruckman,Keaton,"U.A., republic",Comedy,"F09, H****"
1867,The Battle of the Century,1927,A.E.Sutherland?,Roach,SU:,Comedy,H*
1868,Feet First,1930,Bruckman,PN:,SU:,Ctxx,aw
1869,Movie Crazy,1932,Bruckman,Harold Lloyd,SU:,Comedy,H**
1870,The Man on The Flying Trapeze,1935,Bruckman,PN:,SU:,Ctxx,aw
1871,Sunny Side Up,1929,D.Butler,PN:,Fox,Musical,H*
1872,Just Imagine,1930,D.Butler,,Fox,ScFi,H
1873,A Conneticut Yankee,1931,D.Butler,PN:,SU:,Ctxx,aw
1874,The Littlest Rebel,1935,Butler,PN:B.G. deSylva,Fox,Romantic,H
1875,The Little Colonel,1935,Butler,PN:B.G. deSylva,Fox,Romantic,H**
1876,Captain January,1936,Butler,D.F.Zanuck,Fox,Musical,H*
1877,You're a Sweetheart,1937,Butler,PN:B.G. deSilva,Universal,Musical,
1878,Playmates,1941,D.Butler,PN:Cliff Reid,RKO,Comedy,H*
1879,Caught in the Draft,1941,D.Butler,PN:,SU:,Ctxx,aw
1880,Road to Morocco,1942,D.Butler,PN:Paul Jones,Paramount,,H**
1881,They Got Me Covered,1943,D.Butler,PN:Samuel Goldwyn,SU:,,H*
1882,Thank Your Lucky Stars,1943,D.Butler,PN:Mark Hellinger,Warners,Musical,H***
1883,Two Guys From Milwaukee,1946,D.Butler,PU:,S:Warners,Comedy,H
1884,My Wild Irish Rose,1947,D.Butler,William Jacobs,Warners,Ctxx,aw
1885,Tea for Two,1950,D.Butler,PN:William Jacobs,Warners,Musical,"H*, CG**"
1886,The Daughter of Rosie O'Grady,1950,D.Butler,PN:,SU:,Musical,aw
1887,Painting the Clouds with Sunshine,1951,D.Butler,PN:William Jacobs,Warners,Musical,H
1888,Lullaby of Broadway,1951,D.Butler,PN:,SU:,Musical,aw
1889,April in Paris,1952,D.Butler,PN:William Jacobs,Warners,Musical,aw
1890,Where's Charley?,1952,D.Butler,PN:,"England, SD:Warners",Musical,
1891,Calamity Jane,1953,D.Butler,PN:,SU:,Ctxx,aw
1892,Get Your Man,1927,Arzner,PU:,SU:,Ctxx,
1893,The Wild Party,1929,Arzner,PN:,Paramount,Comedy,H-
1894,Sarah and Son,1930,Arzner,Selznick,PFL,Drama,aw
1895,Merrily We Go to Hell,1932,Arzner,PN:,SU:,Ctxx,aw
1896,Christopher Strong,1933,Arzner,"Selznick, Berman",RKO,Romantic,H*
1897,Nana,1934,Arzner,,Goldwyn,Drama,H*
1898,Craig's Wife,1936,Arzner,PN:,SU:,Ctxx,aw
1899,Dance Girl Dance,1940,Arzner,PN:,RKO,"Romantic, Musical",aw
1900,Double Alibi,1927,D.MacDonald,PN:,SU:,Ctxx,aw
1901,This Man is News,1938,D.MacDonald,PN:,SU:,Ctxx,aw
1902,Spies of the Air,1939,D.MacDonald,PN:,SU:,Ctxx,aw
1903,Desert Victory,1943,D.MacDonald,PN:MOI,British Army Film Unit,Documentary,H****
1904,The Brothers,1947,D.MacDonald,PN:Sydney Box,GFD,Drama,H**
1905,Christopher Columbus,1949,D.MacDonald,B.Box,"Rank, Gainsborough",Advt,H
1906,The Moonraker,1958,D.MacDonald,PN:Hamilton Inglis,ABPC,Advt,H*
1907,One Sixth of the World,1927,Vertov,PN:,SU:,Ctxx,aw
1908,The Man With the Movie Camera,1928,Vertov,PN:,SU:,Ctxx,aw
1909,Three Songs of Lenin,1934,Vertov,PN:,SU:,Ctxx,aw
1910,In the Line of Fire,1941,Vertov,PN:,SU:,Drama,aw
1911,Marquis Preferred,1929,Tuttle,Tuttle,Paramount,Comedy,
1912,True to the Navy,1930,Tuttle,PN:,Paramount,Comedy,H
1913,The Big Broadcast,1933,Tuttle,,Paramount,Musical,H**
1914,Roman Scandals,1933,Tuttle,S.Goldwyn,Goldwyn,"Musical,Comedy","H**, [47]"
1915,Here Is My Heart,1934,Tuttle,PN:,Paramount,Musical,H
1916,The Glass Key,1935,Tuttle,PN:E.Llloyd Sheldon,Paramount,Suspense,H**
1917,I Stole a Million,1939,Tuttle,PN:,SU:,Ctxx,aw
1918,True to the Army,1940?,Tuttle?,PN:,SU:,Comedy,H-
1919,This Gun for Hire,1942,Tuttle,PN:Richard. M. Blumenthal,Paramount,"Drama,Actn",H**
1920,Don Juan Quilligan,1955,Tuttle,PN:,Fox,"Romantic,Comedy",H
1921,Hell on Frisco Bay,1955,Tuttle,PN:,SU:,Ctxx,aw
1922,Laughter,1930,DArrast,"J.Mankiewicz, Selznick",Paramount-Publix,Drama,aw
1923,Topaze,1933,DArrast,Selznick,Paramount-Publix,Comedy,H*
1924,Ladies they Talk About,1933,Bretherton,PN:,SU:,Drama,
1925,Western Gold,1937,Bretherton,PN:,SU:,Ctxx,-H
1926,The Trap,1947,Bretherton,PN:,Monogram,"Myst,Comedy",
1927,The Shamrock and the Rose,1927,J.Nelson,PN:,SU:,Ctxx,aw
1928,Silk Legs,1927,Tinling,PN:,SU:,Ctxx,aw
1929,Charlie Chan in Shanghai,1935,Tinling,PN:,Fox,"Myst,Comedy",
1930,Under the Pampas Moon,1935,Tinling,PN:,Fox,Advt,H
1931,Mr.~Moto's Gamble,1938,Tinling,Wurtzel,Fox,"Myst,Comedy",
1932,Tales of Robin Hood,1952,Tinling,PN:,SU:,Advt,aw
1933,The Marriage Playground,1929,Mendes,,Paramount,Drama,
1934,Payment Deferred,1932,Mendes,,MGM,Drama,H*
1935,Jew Suss,1934,Mendes,Balcon,Gaumont,Drama,H**
1936,The Man Who Could Work Miracles,1936,Mendes,A.Korda,SL:London,,
1937,The International Squadron,1941,Mendes,PN:,US,,
1938,Flight for Freedom,1943,Mendes,PN:,US,Actn,
1939,The Journalist,1927,Kuleshov,PU:,SL:\Ru:,Ctxx,
1940,Destry Rides Again,1927,Seiler,PN:,SU:,West,aw
1941,Air Circus,1928,Seiler,PN:,SU:,Ctxx,aw
1942,Charlie Chan in Paris,1935,Seiler,PN:,Fox,"Myst,Comedy",
1943,Crime School,1938,Seiler,PN:Brian Foy,Warners,,H*
1944,You Can't Get Away With Murder,1939,Seiler,Bischoff,Warners,,H
1945,It All Came True,1940,Seiler,PU:,S:Warners,Drama,aw
1946,Pittsburgh,1942,Seiler,Charlie~Feldman,SU:,Drama,H
1947,Something for the Boys,1944,Seiler,PN:Irving Starr,Fox,Musical,H
1948,La Sir\`ene des Tropiques,1927,DeKobra,PN:,SL:\Fr,Ctxx,aw
1949,Little Caesar,1930,M.LeRoy,,Warners,RomCom,H****
1950,Big City Blues,1932,M.LeRoy,PN:,Warners,"Comedy, Drama",H
1951,Three on A Match,1932,M.LeRoy,Bischoff,Warners,Drama,H*
1952,Five Star Final,1932,M.LeRoy,PN:,SU:,Ctxx,aw
1953,I am Fugitive from a Chain Gang,1932,M.LeRoy,PN:Hal B. Wallis,Warners,Drama,"H****, AAN"
1954,Tugboat Annie,1932,M.LeRoy,PN:,SU:,Ctxx,aw
1955,Two Seconds,1932,M.LeRoy,PN:,SU:,Ctxx,aw
1956,Three on a Match,1933,M.LeRoy,PN:Sam Bischoff,Warners,Drama,H*
1957,Oil for the Lamps of China,1933,M.LeRoy,PN:,SU:,Ctxx,aw
1958,Gold Diggers of 1933,1933,M.LeRoy,PN:Robert Lord,Warners,Musical,H***
1959,Heat Lightning,1934,M.LeRoy,PN:,SU:,Ctxx,aw
1960,I Found Stella Parrish,1935,M.LeRoy,PN:,Warners,Drama,H
1961,Oil For The Lamps of China,1935,M.LeRoy,PN:Robert Lord,Warners,Drama,H*
1962,Anthony Adverse,1936,M.LeRoy,PN:Henry Blanke,Warners,Advt,"AAN, H*"
1963,Three Men on a Horse,1936,M.LeRoy,PN:,SU:,Ctxx,aw
1964,They Won't Forget,1936,M.LeRoy,PN:,SU:,Ctxx,aw
1965,Waterloo Bridge,1940,M.LeRoy,Franklin,MGM,Romantic,H**
1966,Escape,1940,M.LeRoy,Weingarten,MGM,Drama,H**
1967,Waterloo Bridge,1940,M.LeRoy,PN:,SU:,Ctxx,aw
1968,Random Harvest,1942,M.LeRoy,PN:Sidney Franklin,MGM,Drama,"H***, AAN, AAN dir"
1969,Madame Curie,1943,M.LeRoy,PN:,SU:,Ctxx,aw
1970,Thirty Seconds over Tokyo,1944,M.LeRoy,Zimbalist,MGM,"Documentary,Actn",H**
1971,Tm:Without Reservations,1946,M.LeRoy,PN:Jesse L. Lasky,RKO,Romantic,H
1972,Desire Me,1947,M.LeRoy,PN:Arthur Hornblow~jr.,MGM,Drama,H
1973,Little Women,1949,M.LeRoy,M.LeRoy,MGM,,H*
1974,Any Number Can Play,1949,M.LeRoy,PN:,SU:,Ctxx,aw
1975,East Side West Side,1950,M.LeRoy,PN:,SU:,Ctxx,aw
1976,Quo Vadis,1951,M.LeRoy,Zimbalist,MGM,Epic,"AAN, H**"
1977,Million Dollar Mermaid,1952,M.LeRoy,PN:Arthur J. Hornblow~jr.,MGM,Bio-Pic,aw
1978,Lovely To Look At,1952,M.LeRoy,J.Cummings,MGM,Musical,H*
1979,Rose-Marie,1954,M.LeRoy,PN:,SU:,Romantic,
1980,The Bad Seed,1956,M.LeRoy,M.LeRoy,Warners,Suspense,H*
1981,A Majority of One,1960,M.LeRoy,PN:,SU:,Ctxx,aw
1982,The Devil at Four o'clock,1960,M.LeRoy,PN:Fred Kohlmar,Columbia,"Advt,Drama",H
1983,The Battle of Paris,1929,Florey,,Paramount,Musical,H
1984,Life and Death of A Hollywood Extra,1930,Florey,PN:Slavko Vorkapich,SU:,Drama,H*
1985,One Hour of Love,1929,Florey,PN:,SL:USA,,
1986,Murders in the Rue Morgue,1932,Florey,"Laemmle~jr,",Universal,,H*
1987,The Raven,1935,Florey,PN:,Universal,,
1988,The Woman in Red,1935,Florey,PN:,Warners,Drama,H
1989,Tm:Hollywood Boulevard,1936,Florey,PN:A.M. Botsford,Paramount,Drama,H*
1990,The Magnificent Fraud,1939,Florey,PN:,Paramount,|,
1991,Flesh and Fantasy,1943,Florey,"PN:, Charles Boyer",Universal,,
1992,God is my Co-Pilot,1944,Florey,PN:,SU:,|,
1993,The Beast with Five Fingers,1946,Florey,PN:,SU:,|,
1994,Monsieur Verdoux,1947,Florey,PN:,SU:,,
1995,Tarzan and the Mermaids,1948,Florey,Lesser,RKO,Advt,
1996,Change of Heart,1961,Florey,"Hitchcock, J.Harrison","Shamley,NBC",Suspense,aw
1997,A Jury of Her Peers,1961,Florey,Hitchcock,"Shamley,NBC",Suspense,aw
1998,Golden Opportunity,1962,Florey,"Hitchcock, J.Harrison","Shamley,NBC",Suspense,aw
1999,The Children of Alda Nuova,1962,Florey,"Hitchcock, J.Harrison","Shamley,NBC",Suspense,aw
